algorithm	PC1	PC2
steroid_bi_9054-omicsintegrator2-params-NIXQON6	3.080065607822924	-0.17110086537043792
steroid_bi_9054-omicsintegrator2-params-I5EKII6	3.080065607822924	-0.17110086537043792
steroid_bi_9054-omicsintegrator2-params-ON3OUHY	3.080065607822924	-0.17110086537043792
steroid_bi_9054-omicsintegrator2-params-RCXKAY7	3.080065607822924	-0.17110086537043792
steroid_bi_9054-omicsintegrator2-params-KMHTT5N	3.080065607822924	-0.17110086537043792
steroid_bi_9054-omicsintegrator2-params-JHH34ZE	3.080065607822924	-0.17110086537043792
steroid_bi_9054-omicsintegrator2-params-Z2C4Y5G	3.080065607822924	-0.17110086537043792
steroid_bi_9054-omicsintegrator2-params-R2T74G3	3.080065607822924	-0.17110086537043792
steroid_bi_9054-omicsintegrator2-params-O3SYN4K	3.080065607822924	-0.17110086537043792
steroid_bi_9054-omicsintegrator2-params-K2CK6DC	1.550088407647297	2.056934887104977
steroid_bi_9054-omicsintegrator2-params-ISZN2DE	1.550088407647297	2.056934887104977
steroid_bi_9054-omicsintegrator2-params-J5QF4A3	1.550088407647297	2.056934887104977
steroid_bi_9054-omicsintegrator2-params-ROZICUS	3.080065607822924	-0.17110086537043792
steroid_bi_9054-omicsintegrator2-params-B6FPMEP	3.080065607822924	-0.17110086537043792
steroid_bi_9054-omicsintegrator2-params-G6QWKUF	3.080065607822924	-0.17110086537043792
steroid_bi_9054-omicsintegrator2-params-RNOITRI	3.080065607822924	-0.17110086537043792
steroid_bi_9054-omicsintegrator2-params-24QHVS5	3.080065607822924	-0.17110086537043792
steroid_bi_9054-omicsintegrator2-params-H5EGTCE	3.080065607822924	-0.17110086537043792
steroid_bi_9054-omicsintegrator2-params-SX6MWZF	-1.9424909569409685	0.22258355416540165
steroid_bi_9054-omicsintegrator2-params-YYQQGSW	-1.9424909569409685	0.22258355416540165
steroid_bi_9054-omicsintegrator2-params-VKYXWNI	-1.9424909569409685	0.22258355416540165
steroid_bi_9054-omicsintegrator2-params-JMDFQGQ	-1.274031721058055	-1.5167908411854802
steroid_bi_9054-omicsintegrator2-params-2WECIOD	-1.274031721058055	-1.5167908411854802
steroid_bi_9054-omicsintegrator2-params-XLW3AU2	-1.274031721058055	-1.5167908411854802
steroid_bi_9054-omicsintegrator2-params-TK757XH	3.080065607822924	-0.17110086537043792
steroid_bi_9054-omicsintegrator2-params-G3MKBIH	3.080065607822924	-0.17110086537043792
steroid_bi_9054-omicsintegrator2-params-62LFP5D	3.080065607822924	-0.17110086537043792
steroid_bi_9054-omicsintegrator2-params-QGDDCNR	-1.9424909569409685	0.22258355416540165
steroid_bi_9054-omicsintegrator2-params-BERGTKM	-1.9424909569409685	0.22258355416540165
steroid_bi_9054-omicsintegrator2-params-QUD5DGU	-1.9424909569409685	0.22258355416540165
steroid_bi_9054-omicsintegrator2-params-VUTDEKI	-1.9424909569409685	0.22258355416540165
steroid_bi_9054-omicsintegrator2-params-G5PCTWW	-1.9424909569409685	0.22258355416540165
steroid_bi_9054-omicsintegrator2-params-BLZ4Z5H	-1.9424909569409685	0.22258355416540165
steroid_bi_9054-omicsintegrator2-params-QA7UVT2	-1.274031721058055	-1.5167908411854802
steroid_bi_9054-omicsintegrator2-params-EUXS342	-1.274031721058055	-1.5167908411854802
steroid_bi_9054-omicsintegrator2-params-2ETE5TC	-1.274031721058055	-1.5167908411854802
steroid_bi_9054-omicsintegrator2-params-XQYZBRY	-1.9424909569409685	0.22258355416540165
steroid_bi_9054-omicsintegrator2-params-K44Y7SY	-1.9424909569409685	0.22258355416540165
steroid_bi_9054-omicsintegrator2-params-RIX5P6Y	-1.9424909569409685	0.22258355416540165
steroid_bi_9054-omicsintegrator2-params-KSSGLIJ	-1.9424909569409685	0.22258355416540165
steroid_bi_9054-omicsintegrator2-params-VOU2GLP	-1.9424909569409685	0.22258355416540165
steroid_bi_9054-omicsintegrator2-params-3XS3BUE	-1.9424909569409685	0.22258355416540165
steroid_bi_9054-omicsintegrator2-params-GWFZFC3	-1.9424909569409685	0.22258355416540165
steroid_bi_9054-omicsintegrator2-params-BBDIWEE	-1.9424909569409685	0.22258355416540165
steroid_bi_9054-omicsintegrator2-params-WSTZQ5T	-1.9424909569409685	0.22258355416540165
steroid_bi_9054-omicsintegrator2-params-FCBNYQN	-1.9424909569409685	0.22258355416540165
steroid_bi_9054-omicsintegrator2-params-ZK2ZPTQ	-1.9424909569409685	0.22258355416540165
steroid_bi_9054-omicsintegrator2-params-E7S3CYK	-1.9424909569409685	0.22258355416540165
steroid_bi_9054-omicsintegrator2-params-JDGM2QR	-1.9424909569409685	0.22258355416540165
steroid_bi_9054-omicsintegrator2-params-2VM5MQL	-1.9424909569409685	0.22258355416540165
steroid_bi_9054-omicsintegrator2-params-O2NMIFG	-1.9424909569409685	0.22258355416540165
steroid_bi_9054-omicsintegrator2-params-GIILIYF	-1.9424909569409685	0.22258355416540165
steroid_bi_9054-omicsintegrator2-params-DGG4UVF	-1.9424909569409685	0.22258355416540165
steroid_bi_9054-omicsintegrator2-params-CIOIRMT	-1.9424909569409685	0.22258355416540165
