algorithm	PC1	PC2
nitrogen_m_7075-omicsintegrator2-params-NIXQON6	-0.4464530724123773	-1.9920426535816687
nitrogen_m_7075-omicsintegrator2-params-I5EKII6	-0.4464530724123773	-1.9920426535816687
nitrogen_m_7075-omicsintegrator2-params-ON3OUHY	-0.4464530724123773	-1.9920426535816687
nitrogen_m_7075-omicsintegrator2-params-RCXKAY7	-0.4464530724123773	-1.9920426535816687
nitrogen_m_7075-omicsintegrator2-params-KMHTT5N	-0.4464530724123773	-1.9920426535816687
nitrogen_m_7075-omicsintegrator2-params-JHH34ZE	-0.4464530724123773	-1.9920426535816687
nitrogen_m_7075-omicsintegrator2-params-Z2C4Y5G	-0.4464530724123773	-1.9920426535816687
nitrogen_m_7075-omicsintegrator2-params-R2T74G3	-0.4464530724123773	-1.9920426535816687
nitrogen_m_7075-omicsintegrator2-params-O3SYN4K	-0.4464530724123773	-1.9920426535816687
nitrogen_m_7075-omicsintegrator2-params-K2CK6DC	-0.9793877680015707	1.9992829018642704
nitrogen_m_7075-omicsintegrator2-params-ISZN2DE	-0.9793877680015707	1.9992829018642704
nitrogen_m_7075-omicsintegrator2-params-J5QF4A3	-0.4464530724123773	-1.9920426535816687
nitrogen_m_7075-omicsintegrator2-params-ROZICUS	-0.4464530724123773	-1.9920426535816687
nitrogen_m_7075-omicsintegrator2-params-B6FPMEP	-0.4464530724123773	-1.9920426535816687
nitrogen_m_7075-omicsintegrator2-params-G6QWKUF	-0.4464530724123773	-1.9920426535816687
nitrogen_m_7075-omicsintegrator2-params-RNOITRI	-0.4464530724123773	-1.9920426535816687
nitrogen_m_7075-omicsintegrator2-params-24QHVS5	-0.4464530724123773	-1.9920426535816687
nitrogen_m_7075-omicsintegrator2-params-H5EGTCE	-0.4464530724123773	-1.9920426535816687
nitrogen_m_7075-omicsintegrator2-params-SX6MWZF	-0.9793877680015707	1.9992829018642704
nitrogen_m_7075-omicsintegrator2-params-YYQQGSW	-0.9793877680015707	1.9992829018642704
nitrogen_m_7075-omicsintegrator2-params-VKYXWNI	-0.35457562822211475	-1.0212165437052065
nitrogen_m_7075-omicsintegrator2-params-JMDFQGQ	-0.9793877680015707	1.9992829018642704
nitrogen_m_7075-omicsintegrator2-params-2WECIOD	-0.9793877680015707	1.9992829018642704
nitrogen_m_7075-omicsintegrator2-params-XLW3AU2	-0.4464530724123773	-1.9920426535816687
nitrogen_m_7075-omicsintegrator2-params-TK757XH	-0.4464530724123773	-1.9920426535816687
nitrogen_m_7075-omicsintegrator2-params-G3MKBIH	-0.4464530724123773	-1.9920426535816687
nitrogen_m_7075-omicsintegrator2-params-62LFP5D	-0.4464530724123773	-1.9920426535816687
nitrogen_m_7075-omicsintegrator2-params-QGDDCNR	-0.9793877680015707	1.9992829018642704
nitrogen_m_7075-omicsintegrator2-params-BERGTKM	-0.9793877680015707	1.9992829018642704
nitrogen_m_7075-omicsintegrator2-params-QUD5DGU	-0.35457562822211475	-1.0212165437052065
nitrogen_m_7075-omicsintegrator2-params-VUTDEKI	-0.9793877680015707	1.9992829018642704
nitrogen_m_7075-omicsintegrator2-params-G5PCTWW	-0.9793877680015707	1.9992829018642704
nitrogen_m_7075-omicsintegrator2-params-BLZ4Z5H	-0.4464530724123773	-1.9920426535816687
nitrogen_m_7075-omicsintegrator2-params-QA7UVT2	-0.9793877680015707	1.9992829018642704
nitrogen_m_7075-omicsintegrator2-params-EUXS342	-0.9793877680015707	1.9992829018642704
nitrogen_m_7075-omicsintegrator2-params-2ETE5TC	-0.4464530724123773	-1.9920426535816687
nitrogen_m_7075-omicsintegrator2-params-XQYZBRY	-0.9793877680015707	1.9992829018642704
nitrogen_m_7075-omicsintegrator2-params-K44Y7SY	-0.9793877680015707	1.9992829018642704
nitrogen_m_7075-omicsintegrator2-params-RIX5P6Y	-0.35457562822211475	-1.0212165437052065
nitrogen_m_7075-omicsintegrator2-params-KSSGLIJ	-0.9793877680015707	1.9992829018642704
nitrogen_m_7075-omicsintegrator2-params-VOU2GLP	-0.9793877680015707	1.9992829018642704
nitrogen_m_7075-omicsintegrator2-params-3XS3BUE	8.449807185911578	0.11576215883432427
nitrogen_m_7075-omicsintegrator2-params-GWFZFC3	-0.9793877680015707	1.9992829018642704
nitrogen_m_7075-omicsintegrator2-params-BBDIWEE	-0.9793877680015707	1.9992829018642704
nitrogen_m_7075-omicsintegrator2-params-WSTZQ5T	-0.4464530724123773	-1.9920426535816687
nitrogen_m_7075-omicsintegrator2-params-FCBNYQN	-0.9793877680015707	1.9992829018642704
nitrogen_m_7075-omicsintegrator2-params-ZK2ZPTQ	-0.9793877680015707	1.9992829018642704
nitrogen_m_7075-omicsintegrator2-params-E7S3CYK	-0.35457562822211475	-1.0212165437052065
nitrogen_m_7075-omicsintegrator2-params-JDGM2QR	-0.9793877680015707	1.9992829018642704
nitrogen_m_7075-omicsintegrator2-params-2VM5MQL	-0.9793877680015707	1.9992829018642704
nitrogen_m_7075-omicsintegrator2-params-O2NMIFG	13.371111212249627	0.901647701811182
nitrogen_m_7075-omicsintegrator2-params-GIILIYF	-0.9793877680015707	1.9992829018642704
nitrogen_m_7075-omicsintegrator2-params-DGG4UVF	-0.9793877680015707	1.9992829018642704
nitrogen_m_7075-omicsintegrator2-params-CIOIRMT	13.371111212249627	0.901647701811182
