algorithm	labels
starch_and_5869-omicsintegrator2-params-NIXQON6	4
starch_and_5869-omicsintegrator2-params-I5EKII6	4
starch_and_5869-omicsintegrator2-params-ON3OUHY	4
starch_and_5869-omicsintegrator2-params-RCXKAY7	4
starch_and_5869-omicsintegrator2-params-KMHTT5N	4
starch_and_5869-omicsintegrator2-params-JHH34ZE	4
starch_and_5869-omicsintegrator2-params-Z2C4Y5G	4
starch_and_5869-omicsintegrator2-params-R2T74G3	4
starch_and_5869-omicsintegrator2-params-O3SYN4K	4
starch_and_5869-omicsintegrator2-params-K2CK6DC	2
starch_and_5869-omicsintegrator2-params-ISZN2DE	2
starch_and_5869-omicsintegrator2-params-J5QF4A3	3
starch_and_5869-omicsintegrator2-params-ROZICUS	4
starch_and_5869-omicsintegrator2-params-B6FPMEP	4
starch_and_5869-omicsintegrator2-params-G6QWKUF	4
starch_and_5869-omicsintegrator2-params-RNOITRI	4
starch_and_5869-omicsintegrator2-params-24QHVS5	4
starch_and_5869-omicsintegrator2-params-H5EGTCE	4
starch_and_5869-omicsintegrator2-params-SX6MWZF	2
starch_and_5869-omicsintegrator2-params-YYQQGSW	2
starch_and_5869-omicsintegrator2-params-VKYXWNI	3
starch_and_5869-omicsintegrator2-params-JMDFQGQ	2
starch_and_5869-omicsintegrator2-params-2WECIOD	2
starch_and_5869-omicsintegrator2-params-XLW3AU2	4
starch_and_5869-omicsintegrator2-params-TK757XH	2
starch_and_5869-omicsintegrator2-params-G3MKBIH	2
starch_and_5869-omicsintegrator2-params-62LFP5D	4
starch_and_5869-omicsintegrator2-params-QGDDCNR	2
starch_and_5869-omicsintegrator2-params-BERGTKM	2
starch_and_5869-omicsintegrator2-params-QUD5DGU	1
starch_and_5869-omicsintegrator2-params-VUTDEKI	2
starch_and_5869-omicsintegrator2-params-G5PCTWW	2
starch_and_5869-omicsintegrator2-params-BLZ4Z5H	1
starch_and_5869-omicsintegrator2-params-QA7UVT2	2
starch_and_5869-omicsintegrator2-params-EUXS342	2
starch_and_5869-omicsintegrator2-params-2ETE5TC	4
starch_and_5869-omicsintegrator2-params-XQYZBRY	2
starch_and_5869-omicsintegrator2-params-K44Y7SY	2
starch_and_5869-omicsintegrator2-params-RIX5P6Y	1
starch_and_5869-omicsintegrator2-params-KSSGLIJ	2
starch_and_5869-omicsintegrator2-params-VOU2GLP	2
starch_and_5869-omicsintegrator2-params-3XS3BUE	0
starch_and_5869-omicsintegrator2-params-GWFZFC3	2
starch_and_5869-omicsintegrator2-params-BBDIWEE	2
starch_and_5869-omicsintegrator2-params-WSTZQ5T	0
starch_and_5869-omicsintegrator2-params-FCBNYQN	2
starch_and_5869-omicsintegrator2-params-ZK2ZPTQ	2
starch_and_5869-omicsintegrator2-params-E7S3CYK	1
starch_and_5869-omicsintegrator2-params-JDGM2QR	2
starch_and_5869-omicsintegrator2-params-2VM5MQL	2
starch_and_5869-omicsintegrator2-params-O2NMIFG	0
starch_and_5869-omicsintegrator2-params-GIILIYF	2
starch_and_5869-omicsintegrator2-params-DGG4UVF	2
starch_and_5869-omicsintegrator2-params-CIOIRMT	0
