algorithm	PC1	PC2
galactose_4880-omicsintegrator2-params-NIXQON6	-0.06273621797231951	-1.8883883398920012
galactose_4880-omicsintegrator2-params-I5EKII6	-0.06273621797231951	-1.8883883398920012
galactose_4880-omicsintegrator2-params-ON3OUHY	-0.06273621797231951	-1.8883883398920012
galactose_4880-omicsintegrator2-params-RCXKAY7	-0.06273621797231951	-1.8883883398920012
galactose_4880-omicsintegrator2-params-KMHTT5N	-0.06273621797231951	-1.8883883398920012
galactose_4880-omicsintegrator2-params-JHH34ZE	-0.06273621797231951	-1.8883883398920012
galactose_4880-omicsintegrator2-params-Z2C4Y5G	-0.06273621797231951	-1.8883883398920012
galactose_4880-omicsintegrator2-params-R2T74G3	-0.06273621797231951	-1.8883883398920012
galactose_4880-omicsintegrator2-params-O3SYN4K	-0.06273621797231951	-1.8883883398920012
galactose_4880-omicsintegrator2-params-K2CK6DC	-1.2554092292488068	1.9526443102809135
galactose_4880-omicsintegrator2-params-ISZN2DE	-1.2554092292488068	1.9526443102809135
galactose_4880-omicsintegrator2-params-J5QF4A3	-0.06273621797231951	-1.8883883398920012
galactose_4880-omicsintegrator2-params-ROZICUS	-0.06273621797231951	-1.8883883398920012
galactose_4880-omicsintegrator2-params-B6FPMEP	-0.06273621797231951	-1.8883883398920012
galactose_4880-omicsintegrator2-params-G6QWKUF	-0.06273621797231951	-1.8883883398920012
galactose_4880-omicsintegrator2-params-RNOITRI	-0.06273621797231951	-1.8883883398920012
galactose_4880-omicsintegrator2-params-24QHVS5	-0.06273621797231951	-1.8883883398920012
galactose_4880-omicsintegrator2-params-H5EGTCE	-0.06273621797231951	-1.8883883398920012
galactose_4880-omicsintegrator2-params-SX6MWZF	-1.2554092292488068	1.9526443102809135
galactose_4880-omicsintegrator2-params-YYQQGSW	-1.2554092292488068	1.9526443102809135
galactose_4880-omicsintegrator2-params-VKYXWNI	-0.06273621797231951	-1.8883883398920012
galactose_4880-omicsintegrator2-params-JMDFQGQ	-1.2554092292488068	1.9526443102809135
galactose_4880-omicsintegrator2-params-2WECIOD	-1.2554092292488068	1.9526443102809135
galactose_4880-omicsintegrator2-params-XLW3AU2	-0.06273621797231951	-1.8883883398920012
galactose_4880-omicsintegrator2-params-TK757XH	-0.06273621797231951	-1.8883883398920012
galactose_4880-omicsintegrator2-params-G3MKBIH	-0.06273621797231951	-1.8883883398920012
galactose_4880-omicsintegrator2-params-62LFP5D	-0.06273621797231951	-1.8883883398920012
galactose_4880-omicsintegrator2-params-QGDDCNR	-1.2554092292488068	1.9526443102809135
galactose_4880-omicsintegrator2-params-BERGTKM	-1.2554092292488068	1.9526443102809135
galactose_4880-omicsintegrator2-params-QUD5DGU	-0.06273621797231951	-1.8883883398920012
galactose_4880-omicsintegrator2-params-VUTDEKI	-1.2554092292488068	1.9526443102809135
galactose_4880-omicsintegrator2-params-G5PCTWW	-1.2554092292488068	1.9526443102809135
galactose_4880-omicsintegrator2-params-BLZ4Z5H	-0.06273621797231951	-1.8883883398920012
galactose_4880-omicsintegrator2-params-QA7UVT2	-1.2554092292488068	1.9526443102809135
galactose_4880-omicsintegrator2-params-EUXS342	-1.2554092292488068	1.9526443102809135
galactose_4880-omicsintegrator2-params-2ETE5TC	-0.06273621797231951	-1.8883883398920012
galactose_4880-omicsintegrator2-params-XQYZBRY	-1.2554092292488068	1.9526443102809135
galactose_4880-omicsintegrator2-params-K44Y7SY	-1.2554092292488068	1.9526443102809135
galactose_4880-omicsintegrator2-params-RIX5P6Y	-0.06273621797231951	-1.8883883398920012
galactose_4880-omicsintegrator2-params-KSSGLIJ	-1.2554092292488068	1.9526443102809135
galactose_4880-omicsintegrator2-params-VOU2GLP	-1.2554092292488068	1.9526443102809135
galactose_4880-omicsintegrator2-params-3XS3BUE	5.865377990874357	-0.2981203903710392
galactose_4880-omicsintegrator2-params-GWFZFC3	-1.2554092292488068	1.9526443102809135
galactose_4880-omicsintegrator2-params-BBDIWEE	-1.2554092292488068	1.9526443102809135
galactose_4880-omicsintegrator2-params-WSTZQ5T	-0.06273621797231951	-1.8883883398920012
galactose_4880-omicsintegrator2-params-FCBNYQN	-1.2554092292488068	1.9526443102809135
galactose_4880-omicsintegrator2-params-ZK2ZPTQ	-1.2554092292488068	1.9526443102809135
galactose_4880-omicsintegrator2-params-E7S3CYK	-0.06273621797231951	-1.8883883398920012
galactose_4880-omicsintegrator2-params-JDGM2QR	-1.2554092292488068	1.9526443102809135
galactose_4880-omicsintegrator2-params-2VM5MQL	-1.2554092292488068	1.9526443102809135
galactose_4880-omicsintegrator2-params-O2NMIFG	12.979160698174816	2.2105710603565605
galactose_4880-omicsintegrator2-params-GIILIYF	-1.2554092292488068	1.9526443102809135
galactose_4880-omicsintegrator2-params-DGG4UVF	-1.2554092292488068	1.9526443102809135
galactose_4880-omicsintegrator2-params-CIOIRMT	12.979160698174816	2.2105710603565605
