algorithm	labels
butanoate_1100-omicsintegrator2-params-NIXQON6	1
butanoate_1100-omicsintegrator2-params-I5EKII6	1
butanoate_1100-omicsintegrator2-params-ON3OUHY	1
butanoate_1100-omicsintegrator2-params-RCXKAY7	1
butanoate_1100-omicsintegrator2-params-KMHTT5N	1
butanoate_1100-omicsintegrator2-params-JHH34ZE	1
butanoate_1100-omicsintegrator2-params-Z2C4Y5G	1
butanoate_1100-omicsintegrator2-params-R2T74G3	1
butanoate_1100-omicsintegrator2-params-O3SYN4K	1
butanoate_1100-omicsintegrator2-params-K2CK6DC	2
butanoate_1100-omicsintegrator2-params-ISZN2DE	2
butanoate_1100-omicsintegrator2-params-J5QF4A3	2
butanoate_1100-omicsintegrator2-params-ROZICUS	1
butanoate_1100-omicsintegrator2-params-B6FPMEP	1
butanoate_1100-omicsintegrator2-params-G6QWKUF	1
butanoate_1100-omicsintegrator2-params-RNOITRI	1
butanoate_1100-omicsintegrator2-params-24QHVS5	1
butanoate_1100-omicsintegrator2-params-H5EGTCE	1
butanoate_1100-omicsintegrator2-params-SX6MWZF	2
butanoate_1100-omicsintegrator2-params-YYQQGSW	2
butanoate_1100-omicsintegrator2-params-VKYXWNI	2
butanoate_1100-omicsintegrator2-params-JMDFQGQ	1
butanoate_1100-omicsintegrator2-params-2WECIOD	1
butanoate_1100-omicsintegrator2-params-XLW3AU2	1
butanoate_1100-omicsintegrator2-params-TK757XH	1
butanoate_1100-omicsintegrator2-params-G3MKBIH	1
butanoate_1100-omicsintegrator2-params-62LFP5D	1
butanoate_1100-omicsintegrator2-params-QGDDCNR	2
butanoate_1100-omicsintegrator2-params-BERGTKM	2
butanoate_1100-omicsintegrator2-params-QUD5DGU	2
butanoate_1100-omicsintegrator2-params-VUTDEKI	2
butanoate_1100-omicsintegrator2-params-G5PCTWW	2
butanoate_1100-omicsintegrator2-params-BLZ4Z5H	2
butanoate_1100-omicsintegrator2-params-QA7UVT2	1
butanoate_1100-omicsintegrator2-params-EUXS342	1
butanoate_1100-omicsintegrator2-params-2ETE5TC	1
butanoate_1100-omicsintegrator2-params-XQYZBRY	2
butanoate_1100-omicsintegrator2-params-K44Y7SY	2
butanoate_1100-omicsintegrator2-params-RIX5P6Y	2
butanoate_1100-omicsintegrator2-params-KSSGLIJ	2
butanoate_1100-omicsintegrator2-params-VOU2GLP	2
butanoate_1100-omicsintegrator2-params-3XS3BUE	2
butanoate_1100-omicsintegrator2-params-GWFZFC3	2
butanoate_1100-omicsintegrator2-params-BBDIWEE	2
butanoate_1100-omicsintegrator2-params-WSTZQ5T	2
butanoate_1100-omicsintegrator2-params-FCBNYQN	2
butanoate_1100-omicsintegrator2-params-ZK2ZPTQ	2
butanoate_1100-omicsintegrator2-params-E7S3CYK	2
butanoate_1100-omicsintegrator2-params-JDGM2QR	2
butanoate_1100-omicsintegrator2-params-2VM5MQL	2
butanoate_1100-omicsintegrator2-params-O2NMIFG	2
butanoate_1100-omicsintegrator2-params-GIILIYF	2
butanoate_1100-omicsintegrator2-params-DGG4UVF	2
butanoate_1100-omicsintegrator2-params-CIOIRMT	2
