algorithm	labels
sphingolip_8777-omicsintegrator2-params-NIXQON6	1
sphingolip_8777-omicsintegrator2-params-I5EKII6	1
sphingolip_8777-omicsintegrator2-params-ON3OUHY	1
sphingolip_8777-omicsintegrator2-params-RCXKAY7	1
sphingolip_8777-omicsintegrator2-params-KMHTT5N	1
sphingolip_8777-omicsintegrator2-params-JHH34ZE	1
sphingolip_8777-omicsintegrator2-params-Z2C4Y5G	1
sphingolip_8777-omicsintegrator2-params-R2T74G3	1
sphingolip_8777-omicsintegrator2-params-O3SYN4K	1
sphingolip_8777-omicsintegrator2-params-K2CK6DC	2
sphingolip_8777-omicsintegrator2-params-ISZN2DE	6
sphingolip_8777-omicsintegrator2-params-J5QF4A3	4
sphingolip_8777-omicsintegrator2-params-ROZICUS	1
sphingolip_8777-omicsintegrator2-params-B6FPMEP	1
sphingolip_8777-omicsintegrator2-params-G6QWKUF	1
sphingolip_8777-omicsintegrator2-params-RNOITRI	1
sphingolip_8777-omicsintegrator2-params-24QHVS5	1
sphingolip_8777-omicsintegrator2-params-H5EGTCE	1
sphingolip_8777-omicsintegrator2-params-SX6MWZF	2
sphingolip_8777-omicsintegrator2-params-YYQQGSW	6
sphingolip_8777-omicsintegrator2-params-VKYXWNI	5
sphingolip_8777-omicsintegrator2-params-JMDFQGQ	2
sphingolip_8777-omicsintegrator2-params-2WECIOD	6
sphingolip_8777-omicsintegrator2-params-XLW3AU2	8
sphingolip_8777-omicsintegrator2-params-TK757XH	2
sphingolip_8777-omicsintegrator2-params-G3MKBIH	6
sphingolip_8777-omicsintegrator2-params-62LFP5D	1
sphingolip_8777-omicsintegrator2-params-QGDDCNR	2
sphingolip_8777-omicsintegrator2-params-BERGTKM	6
sphingolip_8777-omicsintegrator2-params-QUD5DGU	3
sphingolip_8777-omicsintegrator2-params-VUTDEKI	2
sphingolip_8777-omicsintegrator2-params-G5PCTWW	6
sphingolip_8777-omicsintegrator2-params-BLZ4Z5H	7
sphingolip_8777-omicsintegrator2-params-QA7UVT2	2
sphingolip_8777-omicsintegrator2-params-EUXS342	6
sphingolip_8777-omicsintegrator2-params-2ETE5TC	7
sphingolip_8777-omicsintegrator2-params-XQYZBRY	2
sphingolip_8777-omicsintegrator2-params-K44Y7SY	6
sphingolip_8777-omicsintegrator2-params-RIX5P6Y	3
sphingolip_8777-omicsintegrator2-params-KSSGLIJ	2
sphingolip_8777-omicsintegrator2-params-VOU2GLP	6
sphingolip_8777-omicsintegrator2-params-3XS3BUE	7
sphingolip_8777-omicsintegrator2-params-GWFZFC3	2
sphingolip_8777-omicsintegrator2-params-BBDIWEE	6
sphingolip_8777-omicsintegrator2-params-WSTZQ5T	7
sphingolip_8777-omicsintegrator2-params-FCBNYQN	2
sphingolip_8777-omicsintegrator2-params-ZK2ZPTQ	6
sphingolip_8777-omicsintegrator2-params-E7S3CYK	3
sphingolip_8777-omicsintegrator2-params-JDGM2QR	2
sphingolip_8777-omicsintegrator2-params-2VM5MQL	6
sphingolip_8777-omicsintegrator2-params-O2NMIFG	7
sphingolip_8777-omicsintegrator2-params-GIILIYF	2
sphingolip_8777-omicsintegrator2-params-DGG4UVF	6
sphingolip_8777-omicsintegrator2-params-CIOIRMT	7
