CYP2C18	catalysis-precedes	PLB1
CYP2C18	controls-production-of	chebi:15628
CYP2C18	controls-production-of	chebi:15843
CYP2C18	controls-production-of	chebi:34131
CYP2C18	controls-production-of	chebi:34137
CYP2C18	controls-production-of	chebi:34157
CYP2C18	controls-production-of	chebi:34160
CYP2C18	controls-production-of	chebi:34162
CYP2C18	controls-production-of	chebi:34450
CYP2C18	controls-production-of	chebi:34490
CYP2C19	catalysis-precedes	ALOX12B
CYP2C19	catalysis-precedes	ALOX12
CYP2C19	catalysis-precedes	ALOX15B
CYP2C19	catalysis-precedes	CYP2J2
CYP2C19	catalysis-precedes	CYP4A22
CYP2C19	catalysis-precedes	EPHX2
CYP2C19	catalysis-precedes	GPX6
CYP2C19	catalysis-precedes	JMJD7-PLA2G4B
CYP2C19	catalysis-precedes	LPCAT4
CYP2C19	catalysis-precedes	PLA2G10
CYP2C19	catalysis-precedes	PLA2G12A
CYP2C19	catalysis-precedes	PLA2G12B
CYP2C19	catalysis-precedes	PLA2G1B
CYP2C19	catalysis-precedes	PLA2G2A
CYP2C19	catalysis-precedes	PLA2G2C
CYP2C19	catalysis-precedes	PLA2G2D
CYP2C19	catalysis-precedes	PLA2G2E
CYP2C19	catalysis-precedes	PLA2G2F
CYP2C19	catalysis-precedes	PLA2G3
CYP2C19	catalysis-precedes	PLA2G4A
CYP2C19	catalysis-precedes	PLA2G4B
CYP2C19	catalysis-precedes	PLA2G4E
CYP2C19	catalysis-precedes	PLA2G5
CYP2C19	catalysis-precedes	PLA2G6
CYP2C19	catalysis-precedes	PLB1
CYP2C19	controls-production-of	chebi:15628
CYP2C19	controls-production-of	chebi:15843
CYP2C19	controls-production-of	chebi:34131
CYP2C19	controls-production-of	chebi:34137
CYP2C19	controls-production-of	chebi:34157
CYP2C19	controls-production-of	chebi:34160
CYP2C19	controls-production-of	chebi:34162
CYP2C19	controls-production-of	chebi:34450
CYP2C19	controls-production-of	chebi:34490
CYP2C8	catalysis-precedes	ALOX12B
CYP2C8	catalysis-precedes	ALOX12
CYP2C8	catalysis-precedes	ALOX15B
CYP2C8	catalysis-precedes	CYP2J2
CYP2C8	catalysis-precedes	CYP4A22
CYP2C8	catalysis-precedes	EPHX2
CYP2C8	catalysis-precedes	GPX6
CYP2C8	catalysis-precedes	JMJD7-PLA2G4B
CYP2C8	catalysis-precedes	LPCAT4
CYP2C8	catalysis-precedes	PLA2G10
CYP2C8	catalysis-precedes	PLA2G12A
CYP2C8	catalysis-precedes	PLA2G12B
CYP2C8	catalysis-precedes	PLA2G1B
CYP2C8	catalysis-precedes	PLA2G2A
CYP2C8	catalysis-precedes	PLA2G2C
CYP2C8	catalysis-precedes	PLA2G2D
CYP2C8	catalysis-precedes	PLA2G2E
CYP2C8	catalysis-precedes	PLA2G2F
CYP2C8	catalysis-precedes	PLA2G3
CYP2C8	catalysis-precedes	PLA2G4A
