algorithm	labels
alpha_lino_5783-omicsintegrator2-params-NIXQON6	1
alpha_lino_5783-omicsintegrator2-params-I5EKII6	1
alpha_lino_5783-omicsintegrator2-params-ON3OUHY	1
alpha_lino_5783-omicsintegrator2-params-RCXKAY7	1
alpha_lino_5783-omicsintegrator2-params-KMHTT5N	1
alpha_lino_5783-omicsintegrator2-params-JHH34ZE	1
alpha_lino_5783-omicsintegrator2-params-Z2C4Y5G	1
alpha_lino_5783-omicsintegrator2-params-R2T74G3	1
alpha_lino_5783-omicsintegrator2-params-O3SYN4K	1
alpha_lino_5783-omicsintegrator2-params-K2CK6DC	4
alpha_lino_5783-omicsintegrator2-params-ISZN2DE	4
alpha_lino_5783-omicsintegrator2-params-J5QF4A3	1
alpha_lino_5783-omicsintegrator2-params-ROZICUS	1
alpha_lino_5783-omicsintegrator2-params-B6FPMEP	1
alpha_lino_5783-omicsintegrator2-params-G6QWKUF	1
alpha_lino_5783-omicsintegrator2-params-RNOITRI	1
alpha_lino_5783-omicsintegrator2-params-24QHVS5	1
alpha_lino_5783-omicsintegrator2-params-H5EGTCE	1
alpha_lino_5783-omicsintegrator2-params-SX6MWZF	4
alpha_lino_5783-omicsintegrator2-params-YYQQGSW	4
alpha_lino_5783-omicsintegrator2-params-VKYXWNI	1
alpha_lino_5783-omicsintegrator2-params-JMDFQGQ	4
alpha_lino_5783-omicsintegrator2-params-2WECIOD	4
alpha_lino_5783-omicsintegrator2-params-XLW3AU2	1
alpha_lino_5783-omicsintegrator2-params-TK757XH	4
alpha_lino_5783-omicsintegrator2-params-G3MKBIH	4
alpha_lino_5783-omicsintegrator2-params-62LFP5D	1
alpha_lino_5783-omicsintegrator2-params-QGDDCNR	4
alpha_lino_5783-omicsintegrator2-params-BERGTKM	4
alpha_lino_5783-omicsintegrator2-params-QUD5DGU	2
alpha_lino_5783-omicsintegrator2-params-VUTDEKI	4
alpha_lino_5783-omicsintegrator2-params-G5PCTWW	4
alpha_lino_5783-omicsintegrator2-params-BLZ4Z5H	1
alpha_lino_5783-omicsintegrator2-params-QA7UVT2	4
alpha_lino_5783-omicsintegrator2-params-EUXS342	4
alpha_lino_5783-omicsintegrator2-params-2ETE5TC	1
alpha_lino_5783-omicsintegrator2-params-XQYZBRY	4
alpha_lino_5783-omicsintegrator2-params-K44Y7SY	4
alpha_lino_5783-omicsintegrator2-params-RIX5P6Y	2
alpha_lino_5783-omicsintegrator2-params-KSSGLIJ	4
alpha_lino_5783-omicsintegrator2-params-VOU2GLP	4
alpha_lino_5783-omicsintegrator2-params-3XS3BUE	3
alpha_lino_5783-omicsintegrator2-params-GWFZFC3	4
alpha_lino_5783-omicsintegrator2-params-BBDIWEE	4
alpha_lino_5783-omicsintegrator2-params-WSTZQ5T	1
alpha_lino_5783-omicsintegrator2-params-FCBNYQN	4
alpha_lino_5783-omicsintegrator2-params-ZK2ZPTQ	4
alpha_lino_5783-omicsintegrator2-params-E7S3CYK	2
alpha_lino_5783-omicsintegrator2-params-JDGM2QR	4
alpha_lino_5783-omicsintegrator2-params-2VM5MQL	4
alpha_lino_5783-omicsintegrator2-params-O2NMIFG	5
alpha_lino_5783-omicsintegrator2-params-GIILIYF	4
alpha_lino_5783-omicsintegrator2-params-DGG4UVF	4
alpha_lino_5783-omicsintegrator2-params-CIOIRMT	5
