algorithm	PC1	PC2
nitrogen_m_9511-omicsintegrator2-params-NIXQON6	0.6994762321433448	-2.3462342110943535
nitrogen_m_9511-omicsintegrator2-params-I5EKII6	0.6994762321433448	-2.3462342110943535
nitrogen_m_9511-omicsintegrator2-params-ON3OUHY	0.6994762321433448	-2.3462342110943535
nitrogen_m_9511-omicsintegrator2-params-RCXKAY7	0.6994762321433448	-2.3462342110943535
nitrogen_m_9511-omicsintegrator2-params-KMHTT5N	0.6994762321433448	-2.3462342110943535
nitrogen_m_9511-omicsintegrator2-params-JHH34ZE	0.6994762321433448	-2.3462342110943535
nitrogen_m_9511-omicsintegrator2-params-Z2C4Y5G	0.6994762321433448	-2.3462342110943535
nitrogen_m_9511-omicsintegrator2-params-R2T74G3	0.6994762321433448	-2.3462342110943535
nitrogen_m_9511-omicsintegrator2-params-O3SYN4K	0.6994762321433448	-2.3462342110943535
nitrogen_m_9511-omicsintegrator2-params-K2CK6DC	-1.8294454747874296	1.3615767519864133
nitrogen_m_9511-omicsintegrator2-params-ISZN2DE	-1.8294454747874296	1.3615767519864133
nitrogen_m_9511-omicsintegrator2-params-J5QF4A3	0.6994762321433448	-2.3462342110943535
nitrogen_m_9511-omicsintegrator2-params-ROZICUS	0.6994762321433448	-2.3462342110943535
nitrogen_m_9511-omicsintegrator2-params-B6FPMEP	0.6994762321433448	-2.3462342110943535
nitrogen_m_9511-omicsintegrator2-params-G6QWKUF	0.6994762321433448	-2.3462342110943535
nitrogen_m_9511-omicsintegrator2-params-RNOITRI	0.6994762321433448	-2.3462342110943535
nitrogen_m_9511-omicsintegrator2-params-24QHVS5	0.6994762321433448	-2.3462342110943535
nitrogen_m_9511-omicsintegrator2-params-H5EGTCE	0.6994762321433448	-2.3462342110943535
nitrogen_m_9511-omicsintegrator2-params-SX6MWZF	-1.8294454747874296	1.3615767519864133
nitrogen_m_9511-omicsintegrator2-params-YYQQGSW	-1.8294454747874296	1.3615767519864133
nitrogen_m_9511-omicsintegrator2-params-VKYXWNI	0.6994762321433448	-2.3462342110943535
nitrogen_m_9511-omicsintegrator2-params-JMDFQGQ	-1.8294454747874296	1.3615767519864133
nitrogen_m_9511-omicsintegrator2-params-2WECIOD	-1.8294454747874296	1.3615767519864133
nitrogen_m_9511-omicsintegrator2-params-XLW3AU2	0.6994762321433448	-2.3462342110943535
nitrogen_m_9511-omicsintegrator2-params-TK757XH	-1.8294454747874296	1.3615767519864133
nitrogen_m_9511-omicsintegrator2-params-G3MKBIH	-1.8294454747874296	1.3615767519864133
nitrogen_m_9511-omicsintegrator2-params-62LFP5D	0.6994762321433448	-2.3462342110943535
nitrogen_m_9511-omicsintegrator2-params-QGDDCNR	-1.8294454747874296	1.3615767519864133
nitrogen_m_9511-omicsintegrator2-params-BERGTKM	-1.8294454747874296	1.3615767519864133
nitrogen_m_9511-omicsintegrator2-params-QUD5DGU	2.520512874018029	-0.33713848974214317
nitrogen_m_9511-omicsintegrator2-params-VUTDEKI	-1.8294454747874296	1.3615767519864133
nitrogen_m_9511-omicsintegrator2-params-G5PCTWW	-1.8294454747874296	1.3615767519864133
nitrogen_m_9511-omicsintegrator2-params-BLZ4Z5H	0.6994762321433448	-2.3462342110943535
nitrogen_m_9511-omicsintegrator2-params-QA7UVT2	-1.8294454747874296	1.3615767519864133
nitrogen_m_9511-omicsintegrator2-params-EUXS342	-1.8294454747874296	1.3615767519864133
nitrogen_m_9511-omicsintegrator2-params-2ETE5TC	0.6994762321433448	-2.3462342110943535
nitrogen_m_9511-omicsintegrator2-params-XQYZBRY	-1.8294454747874296	1.3615767519864133
nitrogen_m_9511-omicsintegrator2-params-K44Y7SY	-1.8294454747874296	1.3615767519864133
nitrogen_m_9511-omicsintegrator2-params-RIX5P6Y	2.520512874018029	-0.33713848974214317
nitrogen_m_9511-omicsintegrator2-params-KSSGLIJ	-1.8294454747874296	1.3615767519864133
nitrogen_m_9511-omicsintegrator2-params-VOU2GLP	-1.8294454747874296	1.3615767519864133
nitrogen_m_9511-omicsintegrator2-params-3XS3BUE	4.785802280048387	2.4894388686693656
nitrogen_m_9511-omicsintegrator2-params-GWFZFC3	-1.8294454747874296	1.3615767519864133
nitrogen_m_9511-omicsintegrator2-params-BBDIWEE	-1.8294454747874296	1.3615767519864133
nitrogen_m_9511-omicsintegrator2-params-WSTZQ5T	4.785802280048387	2.4894388686693656
nitrogen_m_9511-omicsintegrator2-params-FCBNYQN	-1.8294454747874296	1.3615767519864133
nitrogen_m_9511-omicsintegrator2-params-ZK2ZPTQ	-1.8294454747874296	1.3615767519864133
nitrogen_m_9511-omicsintegrator2-params-E7S3CYK	2.520512874018029	-0.33713848974214317
nitrogen_m_9511-omicsintegrator2-params-JDGM2QR	-1.8294454747874296	1.3615767519864133
nitrogen_m_9511-omicsintegrator2-params-2VM5MQL	-1.8294454747874296	1.3615767519864133
nitrogen_m_9511-omicsintegrator2-params-O2NMIFG	7.871719143656041	4.951230306611177
nitrogen_m_9511-omicsintegrator2-params-GIILIYF	-1.8294454747874296	1.3615767519864133
nitrogen_m_9511-omicsintegrator2-params-DGG4UVF	-1.8294454747874296	1.3615767519864133
nitrogen_m_9511-omicsintegrator2-params-CIOIRMT	7.871719143656041	4.951230306611177
