algorithm	PC1	PC2
glycosylph_8703-omicsintegrator2-params-NIXQON6	-1.5231119727411735	0.6163226958807433
glycosylph_8703-omicsintegrator2-params-I5EKII6	-1.5231119727411735	0.6163226958807433
glycosylph_8703-omicsintegrator2-params-ON3OUHY	-1.5231119727411735	0.6163226958807433
glycosylph_8703-omicsintegrator2-params-RCXKAY7	-1.5231119727411735	0.6163226958807433
glycosylph_8703-omicsintegrator2-params-KMHTT5N	-1.5231119727411735	0.6163226958807433
glycosylph_8703-omicsintegrator2-params-JHH34ZE	-1.5231119727411735	0.6163226958807433
glycosylph_8703-omicsintegrator2-params-Z2C4Y5G	-1.5231119727411735	0.6163226958807433
glycosylph_8703-omicsintegrator2-params-R2T74G3	-1.5231119727411735	0.6163226958807433
glycosylph_8703-omicsintegrator2-params-O3SYN4K	-1.5231119727411735	0.6163226958807433
glycosylph_8703-omicsintegrator2-params-K2CK6DC	-0.4150650792477534	-1.2204628458558966
glycosylph_8703-omicsintegrator2-params-ISZN2DE	-0.4150650792477534	-1.2204628458558966
glycosylph_8703-omicsintegrator2-params-J5QF4A3	-0.8540384140102167	0.010735759469430348
glycosylph_8703-omicsintegrator2-params-ROZICUS	-1.5231119727411735	0.6163226958807433
glycosylph_8703-omicsintegrator2-params-B6FPMEP	-1.5231119727411735	0.6163226958807433
glycosylph_8703-omicsintegrator2-params-G6QWKUF	-1.5231119727411735	0.6163226958807433
glycosylph_8703-omicsintegrator2-params-RNOITRI	-1.5231119727411735	0.6163226958807433
glycosylph_8703-omicsintegrator2-params-24QHVS5	-1.5231119727411735	0.6163226958807433
glycosylph_8703-omicsintegrator2-params-H5EGTCE	-1.5231119727411735	0.6163226958807433
glycosylph_8703-omicsintegrator2-params-SX6MWZF	-0.4150650792477534	-1.2204628458558966
glycosylph_8703-omicsintegrator2-params-YYQQGSW	-0.4150650792477534	-1.2204628458558966
glycosylph_8703-omicsintegrator2-params-VKYXWNI	-0.8540384140102167	0.010735759469430348
glycosylph_8703-omicsintegrator2-params-JMDFQGQ	-1.5231119727411735	0.6163226958807433
glycosylph_8703-omicsintegrator2-params-2WECIOD	-1.5231119727411735	0.6163226958807433
glycosylph_8703-omicsintegrator2-params-XLW3AU2	-1.5231119727411735	0.6163226958807433
glycosylph_8703-omicsintegrator2-params-TK757XH	-1.5231119727411735	0.6163226958807433
glycosylph_8703-omicsintegrator2-params-G3MKBIH	-1.5231119727411735	0.6163226958807433
glycosylph_8703-omicsintegrator2-params-62LFP5D	-1.5231119727411735	0.6163226958807433
glycosylph_8703-omicsintegrator2-params-QGDDCNR	-0.4150650792477534	-1.2204628458558966
glycosylph_8703-omicsintegrator2-params-BERGTKM	-0.4150650792477534	-1.2204628458558966
glycosylph_8703-omicsintegrator2-params-QUD5DGU	-0.8540384140102167	0.010735759469430348
glycosylph_8703-omicsintegrator2-params-VUTDEKI	2.758252458958332	-1.7176650214650702
glycosylph_8703-omicsintegrator2-params-G5PCTWW	2.758252458958332	-1.7176650214650702
glycosylph_8703-omicsintegrator2-params-BLZ4Z5H	-1.5231119727411735	0.6163226958807433
glycosylph_8703-omicsintegrator2-params-QA7UVT2	-1.5231119727411735	0.6163226958807433
glycosylph_8703-omicsintegrator2-params-EUXS342	-1.5231119727411735	0.6163226958807433
glycosylph_8703-omicsintegrator2-params-2ETE5TC	-1.5231119727411735	0.6163226958807433
glycosylph_8703-omicsintegrator2-params-XQYZBRY	-0.4150650792477534	-1.2204628458558966
glycosylph_8703-omicsintegrator2-params-K44Y7SY	-0.4150650792477534	-1.2204628458558966
glycosylph_8703-omicsintegrator2-params-RIX5P6Y	-0.8540384140102167	0.010735759469430348
glycosylph_8703-omicsintegrator2-params-KSSGLIJ	2.758252458958332	-1.7176650214650702
glycosylph_8703-omicsintegrator2-params-VOU2GLP	2.758252458958332	-1.7176650214650702
glycosylph_8703-omicsintegrator2-params-3XS3BUE	4.729029397868659	3.4798831197109803
glycosylph_8703-omicsintegrator2-params-GWFZFC3	2.758252458958332	-1.7176650214650702
glycosylph_8703-omicsintegrator2-params-BBDIWEE	2.758252458958332	-1.7176650214650702
glycosylph_8703-omicsintegrator2-params-WSTZQ5T	4.729029397868659	3.4798831197109803
glycosylph_8703-omicsintegrator2-params-FCBNYQN	-0.4150650792477534	-1.2204628458558966
glycosylph_8703-omicsintegrator2-params-ZK2ZPTQ	-0.4150650792477534	-1.2204628458558966
glycosylph_8703-omicsintegrator2-params-E7S3CYK	-0.8540384140102167	0.010735759469430348
glycosylph_8703-omicsintegrator2-params-JDGM2QR	2.758252458958332	-1.7176650214650702
glycosylph_8703-omicsintegrator2-params-2VM5MQL	2.758252458958332	-1.7176650214650702
glycosylph_8703-omicsintegrator2-params-O2NMIFG	4.729029397868659	3.4798831197109803
glycosylph_8703-omicsintegrator2-params-GIILIYF	2.758252458958332	-1.7176650214650702
glycosylph_8703-omicsintegrator2-params-DGG4UVF	2.758252458958332	-1.7176650214650702
glycosylph_8703-omicsintegrator2-params-CIOIRMT	4.729029397868659	3.4798831197109803
