algorithm	labels
purine_met_2263-omicsintegrator2-params-NIXQON6	1
purine_met_2263-omicsintegrator2-params-I5EKII6	1
purine_met_2263-omicsintegrator2-params-ON3OUHY	1
purine_met_2263-omicsintegrator2-params-RCXKAY7	1
purine_met_2263-omicsintegrator2-params-KMHTT5N	1
purine_met_2263-omicsintegrator2-params-JHH34ZE	1
purine_met_2263-omicsintegrator2-params-Z2C4Y5G	1
purine_met_2263-omicsintegrator2-params-R2T74G3	1
purine_met_2263-omicsintegrator2-params-O3SYN4K	1
purine_met_2263-omicsintegrator2-params-K2CK6DC	2
purine_met_2263-omicsintegrator2-params-ISZN2DE	2
purine_met_2263-omicsintegrator2-params-J5QF4A3	8
purine_met_2263-omicsintegrator2-params-ROZICUS	2
purine_met_2263-omicsintegrator2-params-B6FPMEP	2
purine_met_2263-omicsintegrator2-params-G6QWKUF	1
purine_met_2263-omicsintegrator2-params-RNOITRI	2
purine_met_2263-omicsintegrator2-params-24QHVS5	2
purine_met_2263-omicsintegrator2-params-H5EGTCE	1
purine_met_2263-omicsintegrator2-params-SX6MWZF	3
purine_met_2263-omicsintegrator2-params-YYQQGSW	3
purine_met_2263-omicsintegrator2-params-VKYXWNI	7
purine_met_2263-omicsintegrator2-params-JMDFQGQ	3
purine_met_2263-omicsintegrator2-params-2WECIOD	3
purine_met_2263-omicsintegrator2-params-XLW3AU2	7
purine_met_2263-omicsintegrator2-params-TK757XH	3
purine_met_2263-omicsintegrator2-params-G3MKBIH	3
purine_met_2263-omicsintegrator2-params-62LFP5D	7
purine_met_2263-omicsintegrator2-params-QGDDCNR	3
purine_met_2263-omicsintegrator2-params-BERGTKM	3
purine_met_2263-omicsintegrator2-params-QUD5DGU	6
purine_met_2263-omicsintegrator2-params-VUTDEKI	3
purine_met_2263-omicsintegrator2-params-G5PCTWW	3
purine_met_2263-omicsintegrator2-params-BLZ4Z5H	6
purine_met_2263-omicsintegrator2-params-QA7UVT2	3
purine_met_2263-omicsintegrator2-params-EUXS342	3
purine_met_2263-omicsintegrator2-params-2ETE5TC	6
purine_met_2263-omicsintegrator2-params-XQYZBRY	3
purine_met_2263-omicsintegrator2-params-K44Y7SY	3
purine_met_2263-omicsintegrator2-params-RIX5P6Y	6
purine_met_2263-omicsintegrator2-params-KSSGLIJ	3
purine_met_2263-omicsintegrator2-params-VOU2GLP	3
purine_met_2263-omicsintegrator2-params-3XS3BUE	4
purine_met_2263-omicsintegrator2-params-GWFZFC3	3
purine_met_2263-omicsintegrator2-params-BBDIWEE	3
purine_met_2263-omicsintegrator2-params-WSTZQ5T	4
purine_met_2263-omicsintegrator2-params-FCBNYQN	3
purine_met_2263-omicsintegrator2-params-ZK2ZPTQ	3
purine_met_2263-omicsintegrator2-params-E7S3CYK	6
purine_met_2263-omicsintegrator2-params-JDGM2QR	3
purine_met_2263-omicsintegrator2-params-2VM5MQL	3
purine_met_2263-omicsintegrator2-params-O2NMIFG	5
purine_met_2263-omicsintegrator2-params-GIILIYF	3
purine_met_2263-omicsintegrator2-params-DGG4UVF	3
purine_met_2263-omicsintegrator2-params-CIOIRMT	5
